link,title,Description,Category
UJZ79XyFg,RARE TRIBAL FOOD of West Papua's Dani People!!! (Never Seen on Camera Before!!),"🎥STREET FOOD IN JAYAPURA, WEST PAPUA! » https://youtu.be/-dvufL9fk3Q 
👕BEST EVER MERCH» http://bit.ly/BEFRSMerch  
💗SUPPORT OUR MISSION» http://bit.ly/BestEverPatreon    
 
A huge thanks to our Patrons, David Baliles, Cora Rogerson, Ryan Rhodes, Wah Yan & Alpa for supporting BEFRS mission! Check out our Patreon rewards here: ",Food
0SPwwpruGIA,42 Foods You Need To Eat Before You Die | The Ultimate List,"This is the ultimate must-try food bucket list. From burgers dipped in cheese to classic NY cheesecakes to edible cookie dough, here are 42 foods you have to eat before you die and where you can try them.

------------------------------------------------------",Food
NQDom2gxiV,Street Food in Peshawar - GOLDEN PULAO Mountain + Charsi Tikka Kabab + Pakistani Street Food Tour!,"Check out https://ExpressVPN.com/thefoodranger for 3 months free w/ 1 year pack and 49% OFF!
► More Street Food in Pakistan:  https://youtu.be/cuVHriqJJJE
►Go follow My buddy Ali: https://www.instagram.com/alinhamdani/",Food
P-trSZfdPU,5 Delectable Finger Food Recipes • Tasty,"Try out these 5 finger food recipes!



Subscribe to Tasty: ",Food
XwHurP9RH-,42 Cheesy Foods You Need To Eat Before You Die | The Ultimate List,"From pizza pot pies to cheeseburger dumplings, here are 42 cheesy foods you have to eat before you die and where you can try them.

Footage courtesy of:
Lickyourphone/Lickyourdessert: ",Food
_4aS5vXNLV,EXOTIC FOOD RECIPES YOU'LL WANT TO TRY || 5-Minute Recipes For Special Occasions!,"MOUTH-WATERING RECIPES YOU'LL REALLY LIKE
Here you'll find simple exotic food ideas that you will want to try! After watching this video you can cook delicious sausages with noodles, juicy chicken on sticks and spicy meat - I'm sure, your guests will be amazed! As a bonus, we showed divinely delicious pastry ideas you can cook to surprise your family. 
Don't forget to subscribe and click the bell🔔)


TIMESTAMPS:",Food
R9YM_8rUWAM,Mumbai Street Food | Best Indian Street Food,"Mumbai Street Food, This video showcases the best street food of Mumbai that are truly the gems of street food india.

In this video I visit my favourite places for eating indian street food in Mumbai.

So here is my list of best indian street food in Mumbai :-

1) Chole Bhature at Chawla's Dhaba, Sion
Cost - ₹40
Delhi style chole bhature, a favourite of Delhi street food. 
Location -",Food
EBeQOJ_5anE,43 Giant Foods To Eat Before You Die | The Ultimate List,"We compiled a list of 43 giant foods to eat before you die. This list includes larger-than-life desserts, snacks, and savory meals. Among the favorites are the towering fried pork skin from The Aviary in NYC, the 12-egg omelet from Beth's Cafe in Seattle, and the giant sushi roll from Deli Sushi & Desserts in San Diego.

MORE ULTIMATE LIST CONTENT:
31 Spicy Foods You Need To Try Before You Die | The Ultimate List",Food
DYNwZPgtpTI,Deliciously Simple Fast Food Recipes With Gordon Ramsay,"Some quick, simple and delicious fast food recipes.

#GordonRamsay #Cooking 

Gordon Ramsay's Ultimate Fit Food/Healthy, Lean and Fit – ",Food
Wxdj970RM7M,The Most Iconic Food In Every State | 50 State Favorites,"Every state has its own iconic food — Idaho potatoes are world famous, and New York pizza is legendary. Here's a look at the most iconic food from all 50 states. And yes, we're including coffee as a food.

MORE FOOD VIDEOS:
Best Sandwich In Every State",Food
lZGnEC8y158,What Street Foods Look Like Around The World,"Travel around the world as we feature some of the most decadent, savory, and eccentric street foods from 15 different countries. From delicious elotes on the streets of Mexico to crispy scallion pancakes sizzling all over China, we'll feature plenty of street food favorites from local vendors around the world.

Special Thanks:
Indulgenteats (ig) ",Food
A1kty6P_DxQ,AHMEDABAD,"Veggiepaaji will show you an amazing maggi place in Ahmedabad, Gujarat. This stall serves Kolapuri maggi, vegetable maggi and chatar patar. I was in Ahmedabad for a day and had the oppportunity to try this maggi at EDI at Bhat.
Check out our coverage of best Tandoori Momos Here:",Food
fvT4RCjRrIg,Asia’s Most BIZARRE Hot Pots!! TRIGGER WARNING: Extreme Food!!,"🎥 SECOND CHANNEL!!! MORE BEFRS » http://bit.ly/2pQYjvM   
💗 SUPPORT OUR MISSION » http://bit.ly/BestEverPatreon
📷 CALVIN’S INSTAGRAM »  @fkndeliciousness 

Like our music? Enjoy a free 30-day of Epidemic Sound for the best royalty free music: ",Food
ZMaW6TamNA,US vs UK McDonald's | Food Wars,"From calorie count to portion size, we compared everything between the UK and US McDonald's.

MORE FOOD VIDEOS:
Best Sandwich In Every State",Food
0XY2TocE-x8,"EXTREME Iran Street Food Tour in Tehran, Iran! 500 KG LAMB PLATE + 7 INSANE Street Food in Iran!","► More Street Food in Iran:  https://youtu.be/za2I-fRi5D8
►Go Follow Mr. Taster: https://www.instagram.com/mr.taster
►Thanks https://www.cometopersia.com for helping arrange this whole trip!!

Street food in Iran is AMAZING! Today,  I'm (The Food Ranger, Trevor James)  bringing you in DEEP into Tehran, Iran, for a FULL ON street food tour with Mr. Taster!!! We're tasting INCREDIBLE kababs, SAFFRON RICE, meat platters, BBQ, Iranian HALEEM, BREAKFAST, and MORE!!!

►The BEST VPNs For China: ",Food
GStMSkhmYE,"INDIAN STREET FOOD Tour DEEP in PUNJAB, INDIA | BEST STREET FOOD in INDIA and BEST CURRY HEAVEN!","Check out https://ExpressVPN.com/thefoodranger for 3 months free w/ 1 year pack and 49% OFF! AMAZING Indian Street Food TOUR in Punjab, India! Check out https://ExpressVPN.com/thefoodranger for 3 months free w/ 1 year pack and 49% OFF! It has some of the Best Street Food in INDIA, it's a TRUE curry HEAVEN! We travel in India for street food, and went on a DEEP Street Food TOUR in Amritsar PUNJAB, to try some of the most AMAZING street food around the world! The Food Ranger (Trevor James) is in India eating Street Food! This truly was an amazing STREET FOOD ADVENTURE in INDIA with AMAZING curry, breakfast, and delicious restaurants with UNIQUE Indian food recipes and Indian dinner!

► The BEST VPNs for China:",Food
fE8lezHs19,Healthy Food Vs Junk Food Song!,"► Download my interactive storybook for Android or iOS! https://share.graphyapp.co/adam-says

7+ Hours of exclusive interactive learning videos, games, songs, stories and more with my 'Adam Says' Graphy! Just download the GRAPHY App to access my learning video-audio storybook. Perfect for babies, toddlers, and children who are learning to speak English!

A food song for kids! Do you like broccoli? Do you like chocolate? Teach and learn food names, and the difference between healthy food and junk food! Great for children, babies, toddlers, ESL students, and adults, too! :) Who wins in the battle of the foods!? Learn the words: broccoli, salad, fish, eggs, nuts, yogurt, fruit, cheese, rice, beans, water, chocolate bars, apple pie, chips, cookies, fudge, soda, fries, hot dog, churros, candy, pizza, cheese, fast food.

*****

Other Places To Watch:
► AMAZON VIDEO
Are you an Amazon Prime member? Watch English Tree TV videos ad-free on Amazon Prime Video. Just search for “English Tree TV” 
► KIDOODLE.TV - ",Food
kvLv0Ne7-aU,japanese street food - okonomiyaki,"Okonomiyaki  o-konomi-yaki is a Japanese savory pancake containing a variety of ingredients. The name is derived from the word okonomi, meaning ""how you like"" or ""what you like"", and yaki meaning ""grill"". Okonomiyaki is mainly associated with the Kansai or Hiroshima areas of Japan, but is widely available throughout the country. Toppings and batters tend to vary according to region. In Tokyo, there is a semi-liquid okonomiyaki called 'monjayaki.'
Kansai- or Osaka-style okonomiyaki is the predominant version of the dish, found throughout most of Japan. The batter is made of flour, grated nagaimo (a type of yam), water or dashi, eggs and shredded cabbage, and usually contains other ingredients such as green onion, meat (generally thin pork belly, often mistaken for bacon), octopus, squid, shrimp, vegetables, konjac, mochi or cheese. Okonomiyaki is sometimes compared to an omelette or a pancake and may be referred to as a ""Japanese pizza"" or ""Osaka soul food""
Some okonomiyaki restaurants are grill-it-yourself establishments, where the server produces a bowl of raw ingredients that the customer mixes and grills at tables fitted with teppan, or special hotplates. They may also have a diner-style counter where the cook prepares the dish in front of the customers.
In Osaka (the largest city in the Kansai region), where this dish is said to have originated, okonomiyaki is prepared much like a pancake. The batter and other ingredients are pan-fried on both sides on either a teppan or a pan using metal spatulas that are later used to slice the dish when it has finished cooking. Cooked okonomiyaki is topped with ingredients that include otafuku/okonomiyaki sauce (similar to Worcestershire sauce but thicker and sweeter), aonori (seaweed flakes), katsuobushi (bonito flakes), Japanese mayonnaise, and pickled ginger (beni shoga).",Food
T4NOt727wqI,20 Comfort Foods From Around The World,"In a time when much of the world is facing lockdown because of the coronavirus pandemic, unable to see family and friends in person, many of us are turning to food for comfort. Different dishes are considered comfort food around the world, but they’re all typically high in sugar, fat, and salt. These flavors are key in not only making us feel happy but also in solidifying these dishes in our memories. Twenty people from different cultural backgrounds shared what their favorite comfort food is and what it means to them, and we looked at how their dish of choice is made. 

MORE SOCIAL DISTANCING CONTENT:
18 NYC Restaurants To Order Takeout And Delivery From While Social Distancing",Food
2FB28M5uUQ4,"INSANE Street Food in Turkey!!! 5 LEVELS!!! The BEST Street Food of Gaziantep, Turkey!!!","►ExpressVPN: Protect yourself and unblock any site. https://expressvpn.com/thefoodranger Get 3 months free and 49% off!
►Go Subscribe to Mr. Taster on YouTube here: https://www.youtube.com/user/TheMrtaster",Food
DYNwZPgtpTI,Deliciously Simple Fast Food Recipes With Gordon Ramsay,"Some quick, simple and delicious fast food recipes.

#GordonRamsay #Cooking 

Gordon Ramsay's Ultimate Fit Food/Healthy, Lean and Fit – ",Food
Wxdj970RM7M,The Most Iconic Food In Every State | 50 State Favorites,"Every state has its own iconic food — Idaho potatoes are world famous, and New York pizza is legendary. Here's a look at the most iconic food from all 50 states. And yes, we're including coffee as a food.

MORE FOOD VIDEOS:
Best Sandwich In Every State",Food
6KdQzfhBRh0,35 CRAZY FOOD IDEAS THAT WILL BLOW YOUR MIND,"CRAZY COOL DISHES TO MAKE AT HOME
Check out a collection of incredible recipes you should try immediately. I adore avocado but the avocado salad is a rather boring dish. That’s why in this video you will find a couple of extremely delicious ideas with avocados :) Avocado fans will love the idea to make crispy avocado fries. You can serve them with other appetizers during the party. Check out an easy tutorial! Have you ever seen latte served in an avocado skin? It’s not a joke! You can prank your friends easily. Take an empty stick deodorant container and clean it properly. Place inside mashed avocados and place them in the fridge. Start eating deodorant in front of your friends and check out his reaction.
You can make quick apple pancakes and your family will adore this breakfast idea! In a bowl, combine eggs, sugar, flour, oil, cinnamon, and milk. Stir the mixture properly. Cut apples in rings, dip into the dough and fry. Another cool recipe is fried watermelon bites. Cut watermelon into small pieces. To speed up the process you can use cookie cutters. In a bowl, combine starch with water and properly stir. Add egg whites and stir again. Dip watermelon bites into this mixture and fries in vegetable oil. The next recipe seems crazy but you can cook cinnamon rolls in orange? Check out the video and follow these easy steps. Take oranges and cut off the tops, scoop out the insides using a spoon. Insert cinnamon rolls into the orange halves cover with butter and bake.

TIMESTAMPS:",Food
Hwv7KYzjX78,JAMAICA,"🔔SUBSCRIBE: http://bit.ly/MarkWiensSubscribe Don’t miss two new videos every week! 
🎥Ultimate Street Food Tour in Peru: https://youtu.be/Il3NjMlQ_dk
👍100% Real Durian Chips: https://amzn.to/2RdmD5q",Food
gMdZFFAo-_E,"Kolkata, West Bengal Food & Travel EP 1 | Food Heaven","For the first time on any video title i have used the word Food Heaven, Kolkata food deserves this title. We spent more than 8 days in Kolkata, it was so much of fun exploring food and sightseeing. 

There is so much special about Kolkata food that if you travel to this part of the country, you will surely fall in love with the West Bengal Cuisine.

Following are the details of the places visited by us during our Kolkata food and travel journey, Day 1 , Episode 1.

Deshbandhu: We enjoyed our breakfast at this food joint, this is a old restaurant, cooks Luchi in desi ghee.

Luchi Sabji Rs. 14 per plate
Gulab Jamun Rs. 15 per pcs
Address: 227 MG Road, kolkata 700007
Mob: 7319581449
Location: ",Food
xyQY8a-ng6g,How the food you eat affects your brain - Mia Nacamulli,"View full lesson: http://ed.ted.com/lessons/how-the-foo...

When it comes to what you bite, chew and swallow, your choices have a direct and long-lasting effect on the most powerful organ in your body: your brain. So which foods cause you to feel so tired after lunch? Or so restless at night? Mia Nacamulli takes you into the brain to find out. 

Lesson by Mia Nacamulli, animation by Private Island.",Food
Hgq1LoAqMgg,The BEST Noodles in the WORLD!!! Chinese FIRE NOODLE + Street Food Tour of Chongqing - EXTREME!!!,"►ExpressVPN: Protect yourself and unblock any site. https://expressvpn.com/thefoodranger Get 3 months free and 49% off!
►More Street Food in China: https://youtu.be/VKyCW70oLgk",Food
UT4hPMISonI,TIJUANA,"🎥Mexican Street Food in Tijuana - PART 2: https://youtu.be/RYHs4tV3vcY
🙏Thanks to Jeffrey Merrihue: https://www.instagram.com/jeffrey_mer...
👍100% Real Durian Chips - Order Here: http://pixelfy.me/uY4K5z",Food
R0DI_9rqUO,Best Street Foods in Delhi | Satisfying Video | Best Indian Street Food,"Indian Street Food Making Videos from Delhi, India. Indian Food is very well known in the entire world for its making process and unique taste. Here is the list of some of the Best Indian Street Foods.
Address of Places in Order of Appearance.
1. Murari Chole Kulche Wala.
2. Kake Di Hatti.
3. Rajasthan Kachori Wala.
4. Bhagol Chole Bhature and Chole Chawal.
5. Pappu Chaat Wala.
6. Famous Jalebi Wala in Paharganj.
7. Rajma Chawal & Kadhi Chawal at Parashar Foods.
8. Aloo Tikki & Dahi Bhalla at Natraj Dahi Bhalla Corner.
9. Sita Ram Diwan Chand Chole Bhature.
10. Bread Pakoda at Connaught Place.
11. Dal Pakoda at Paharganj.
12. Paneer Pakora & Puri Near Jama Masjid. Indian Recipes Website.
Indian Vegetarian Recipes.",Food
T5ndAoe0,Most EXTREME Street Food CRABS in Malaysia - MONSTER CRAB COOKING (6 CRABS Cooked 3 Ways!!) in Ipoh!,"► Follow Mark at: https://www.instagram.com/simply.enak
Today, we're bringing you in for some EXTREME Street Food in Asia's BEST Street Food Country - Malaysia! Get ready to eat with us as we explore DEEP through Ipoh, Malaysia's hidden FOOD CITY!",Food
6HngwHe3QCA,"Village Food in AMAZON RAINFOREST - Lemongrass Ants + EXOTIC Energy Drinks! | Manaus, Brazil!","🎥Street Food Tour in Rio de Janeiro: https://youtu.be/TlWDF3BfUdo
🍌Banana Chips available now!! https://m.me/BananaJoe?ref=MarkWiens
👕T-shirts: https://migrationology.com/store/",Food
kDfoj7unlN8,Most EXTREME Street Food in Asia - The MOST SLOPPY Street Burger in THE WORLD w/ BUTTER EGGS!!!,"Check out https://ExpressVPN.com/thefoodranger for 3 months free w/ 1 year pack and 49% OFF!!!
► More Malaysian Street Food: https://youtu.be/Uqc9QmGNoJg",Food
Fue_oeI45CA,"Insane THAI FOOD!! Unbelievable Cooking Skills in Khao Lak, Thailand! 🇹🇭 สุดยอดอาหารใต้","🎥 Thai Street Food - Surat Thani: https://youtu.be/JrKmqGa83FI
👍 100% Real Durian Chips - Order Here: http://pixelfy.me/uY4K5z",Food
HRFrArfj5T8,Muzaffarpur NON VEG Food Tour I EXOTIC TROTTERS (GODI) + Mutton TAAS + Chicken LOLLYPOP + EGG Roll,"► Subscribe to Delhi Food Walks: 
https://www.youtube.com/user/Delhifoo...",Food
4vO7oq9nqzY,India's Fastest Omelet Making | Bread Cheese Omelette | Indian Street Food,"This man famous known as Khan Omlet wala serves delicious varieties of omlets. Their bread cheese omlet is very popular with the locals and the way he makes them is also very interesting. Omlets are made in lots of butter and he puts cheese in it so if you are a butter & cheese lovers, you'll love it.


Address : Khan Omlet Corner, Near Fatehpuri, Chandni Chowk ,Old Delhi",Food
IRdeWwZ9hD0,"We tried Astronaut Steaks, So Insane | SpaceX Food!","Being an astronaut is not easy and sometimes you have to eat some very interesting foods. Today we tried out the astronaut steak, I made 4 of them cooked them sous vide and man these were some steaks we will never forget. 

* Harvest Right *
My Freeze Dryer: ",Food
8yfkENiAXFM,Amazon Street Food in Belém - UNBELIEVABLE TACACÁ + 13 Lady’s Cooked Lunch at Market in Brazil!,"🎥Unseen SUPERFOOD in Amazon Jungle: https://youtu.be/iGU6dXuIcJE
🍌Banana Chips available now!! https://m.me/BananaJoe?ref=MarkWiens
👕T-shirts: https://migrationology.com/store/",Food
1-6zb_TZ23U,RARE Tribal Food of Namibia!! Himba Life and Food!!,"Download Houseparty Here! https://pixly.go2cloud.org/SH1li
Thanks to Epic Games for sponsoring this video

🎥 SECOND CHANNEL!!! MORE BEFRS » ",Food
3EW03euFn8,Amazing Street Food In India | Indian Street Food | North Indian Street Food | Compilation,"Amazing Street Food In India, Indian Street Food, North Indian Street Food, Street Food Compilation, Amazing Street Food In North India, Best Street Food, Delhi Street Food, Heart Attack Hot Dog, Unlimited Thali, Golgappe, Golgappa, Pani Puri, Puchka, Dahi Puchka, FoodAniya, street food, Karampura street food, laxmi nagar street food, east delhi street food, Sarojini nagar street food, sarojini nagar market, Dahi Golgappa Street Food , Jumbo Paneer Pakoda, Kamla Nagar, Kamla Nagar Street Food",Food
JLZlCZ0,ARUNACHAL PRADESH,"The journey to Arunachal, North East India begins with a train journey from Guwahati to Murkongselek. From here we head to Pasighat. And I and my travel companions are just getting started by exploring the tiny glimpse of Arunachal that we have so far. From markets to bridges, the adventure will only get better from here. :)

Next Video: ",Travel
Qmi-Xwq-ME,Traveling to the Happiest Country in the World!!,"We are selecting one person who makes a purchase from Seek Discomfort of ANY AMOUNT on Sunday, December 1st and another person on Monday, December 2nd to join us on an episode next year!! The odds should be pretty good so I'd definitely not miss out :) ",Travel
BbegGNcvMb0,Travelling to Italy after Lockdown | Dhruv Rathee Vlogs,"Welcome to my First Vlog. Here I share with you my journey to Italy after the lockdown has ended in Europe and countries are promoting travel by offering many incentives like travel vouchers, special deals. Do give suggestions or any cool ideas you may have of what you would like to see in the vlogs as this is my first attempt. 

Subscribe to my vlog channel for more such videos: ",Travel
PM3jSC0q6,OUTSTANDING TRAVELING HACKS,"00:00 - Genius toothpaste hack
00:40 - Smart travel hacks
05:02 - Hot vacation hacks",Travel
0GZSfBuhf6Y,25 Best Places to Visit in Europe - Travel Europe,"Check out all the places seen in this video: https://www.touropia.com/best-places-...

Although it is the world’s second smallest continent, Europe welcomes more than half of all the tourists worldwide. In fact, 7 of the 10 most visited countries in the world are European nations. It’s easy to see why; a well-preserved cultural heritage, rich history, safety and efficient infrastructure makes visiting Europe a breeze. Here’s a look at the best places to visit in Europe:",Travel
_ch7hYh4BtA,1 DAY as a TOURIST in SOMALIA (Extreme Travel Somalia),"Exploring more of Somalia and travelling to the coast!
-My Instagram for photos of Somalia: http://indigotraveller.space/Instagram
-My Venezuela Trip Videos: http://indigotraveller.space/Venezuel...",Travel
FLmNLrog6dQ,The Ultimate JERUSALEM FOOD TOUR + Attractions - Palestinian Food and Israeli Food in Old Jerusalem!,"Join us on the ultimate Jerusalem food tour!
Follow David on Instagram: https://www.instagram.com/the.hungry....
Also, thanks to Rafram: http://rafram.com/",Travel
IgAnj6r1O48,10 Best Places to Visit in India - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-...

India is an enormous and diverse destination. Bordered by seven different countries, not to mention the Arabian Sea and the Bay of Bengal, means that there are many different sides to the country. More than 20 official languages, multiple religions and a variety of cuisines exist within India’s borders. To truly experience the breadth of Indian culture and history, travel is key. Here’s a look at the best places to visit in India:",Travel
i9E_Blai8vk,Welcome to Bali | Travel Vlog | Priscilla Lee,"*DISCLAIMER* Please do not ride elephants when visiting any country. At the time I didn't know (yes, I was dumb) so it is shown in the video, but I do not support the elephant riding business anymore. If I could take it back I would, but instead I want to pass on the knowledge to anyone who didn't know like me. Here's a link to why elephant riding is bad: ",Travel
PGM-070kW-,"Rick Steves' ""No-Travel Tips""","Europe has re-opened to travelers...except Americans. It seems that the USA's quarantine skills just aren't up to snuff. And, judging from the new coronavirus cases sweeping our country, we have a lot of room for improvement. If you want to flatten our curve so we can head back to Europe, the recipe is simple: Self-isolate at home as much as possible. If you're out in public, socially distance. And be sure to wear a mask.
 
In the meantime, it seems that we may be stuck at home for a while longer. If you're like me, more than 100 days of staying close to home is wearing thin (even though it's just as important as ever). Sometime during the haze of quarantine, I started brainstorming ways that travelers can bring a little bit of Europe into our daily lives during this crisis. This video offers a few suggestions.

Visit ",Travel
R-07lW6jsD,HOW TO TRAVEL BALI - 14 Days in Paradise,"This is how to travel Bali in 2020. The perfect 2 week Bali Indonesia itinerary is right here for you to make sure you know what to do and where to go in Bali. If you want 5 tips to Bali including some cost savings tips, check this FREE guide: http://lostleblanc.com/5-hot-tips-bali",Travel
OO9kSxcT9Rg,The Ultimate MEXICAN STREET FOOD TACOS Tour of Mexico City! (ft. La Ruta de la Garnacha),"►Subscribe to Lalo’s channel: https://www.youtube.com/user/vpedoardo
►T-shirts available now: https://migrationology.com/store/",Travel
-g2T1YZLkV0,How I Afford To Travel All The Time + Top Questions and Answers 2018,"Check out https://ExpressVPN.com/thefoodranger for 3 months free w/ 1 year pack and 49% OFF! A lot of people ask me how I afford to travel full time, how I afford and manage to eat street food around the world and how I pay for all the travel we do. In this questions and answers video, I’m going to answer your top questions from this last month in 2018!

I live to make travel vlogs, go backpacking, and am now am full time travel vlogger with my fiancé Ting. We both have a full time wanderlust!

MY GEAR AND RESOURCES + MERCH
► New Camera (AWESOME 4K) : ",Travel
6foYb9LLb3Y,Thai Street Food: The ULTIMATE Chinatown Bangkok Tour (เยาวราช) - Bangkok Day 9,Chinatown Bangkok (เยาวราช) is one of the best Thai street food areas of Bangkok. Download your free Bangkok food guide here: http://migrationology.com/2weeksinban...,Travel
VD3kMMdrpiY,"Kolkata food & Travel EP 5 | Kathi kabab, Telebhaja, Fruit cake & More","We started our day by visiting Koley market, very big vegetable market near Sealdah railway station. Got to see many uncommon vegetables. It was such an amazing day travelling and enjoying Kolkata food. 

I think this is the best journey of Kolkata tour, where in we enjoyed the Kolkata city to the core. It is not only about food, we also went to see Football match, i was so much excited to see the audience participation and cheering for their teams.

I could  not have ended this Kolkata food tour episode better than having Jolbhora sandesh at a very famous sweet shop. 

Kolkata sweets are very popular and very tasty. If you are foodie then you must visit Kolkata to enjoy the taste and i am sure you will have memories of lifetime as i have.


Details of the places visited by me as part of this one day food and Kolkata city tour. 

Kona Dukan: This shop opens at 5 am and many people visit here to enjoy breakfast with tea,

Cheese Corn Sandwich Rs. 50
Malai Toast Rs. 35
Kesar Tea Rs. 60
Address: 16 No, india exchange place
Location: ",Travel
9X63yvorFhU,Gobble | Travel Series | Bazaar Travels | S01E01: Jodhpur | Ft. Barkha Singh,"Gobble Travel presents Bazaar Travels Season 1

Come, join us while you #StayHome and #StaySafe as we take you through a virtual shopping experience across the undiscovered bazaars of India. 

The show captures the journey of Barkha Singh who travels to some of India’s oldest, very unique, and most popular markets. Each of these markets are distinct and have been shopping destinations for decades. In a world where fast fashion is the norm, Bazaar Travels brings to the audience the best of handicrafts, artisans and local markets. It’s a great watch for those who love shopping tourism, budget shopping, and travel in general.
 ",Travel
JttPYJF6SdI,HOW TO TRAVEL SIARGAO - The Next Bali?,"Siargao Philippines is quickly becoming one of the top islands in Asia and it reminds me of Bali before the tourism boom. Thanks to Norton for sponsoring a portion of this video! By using my special promo code LOSTLEBLANC, you can receive up to 60% off the first year (annually billed). ",Travel
RcmrbNRK-jY,200 Days - A Trip Around the World Travel Film,"My wife and I traveled to 17 countries in 200 days. This film is the story of our incredible trip! Enjoy! 

We used a GoPro and a Nikon D7000 for all of the filming. 

For Business Inquiries please e.mail me at 40northdesigns@gmail.com. 

Website: 40northdesigns.com

Music Credits: 

Please check out and buy the music from these incredible artists that made this film possible. They are in order of appearance.

M83 - Outro ",Travel
MMBM6g7oT,17 Most Beautiful Islands in the World - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/most-beautif...

Who doesn’t love a taste of island life? Where you can kick off your shoes, leave work behind, and cocktails are provided at the snap of a finger. But island escapes aren’t just about lazy beach days. They can also be full of adventure, water sports, wildlife-watching, and age-old cultures you can trace back over thousands of years. So, whether you’re looking for that typical tropical beach escape or a trip to an exotic ecosystem untouched by tourism, there’s an island out there calling your name. Here’s a look at the  most beautiful islands in the world:",Travel
76Wygb_Aqz0,Road Trip 🚐 - An Indie/Pop/Folk/Rock Playlist | Vol. 1,"Hit the road with this collection of indie tracks perfect for travelling the world!
Listen to it on Spotify here: https://open.spotify.com/user/alxrnbr...
» Subscribe to be the first to hear the best new independent music! http://bit.ly/145fFnx",Travel
PGM-070kW-,"Rick Steves' ""No-Travel Tips""","Europe has re-opened to travelers...except Americans. It seems that the USA's quarantine skills just aren't up to snuff. And, judging from the new coronavirus cases sweeping our country, we have a lot of room for improvement. If you want to flatten our curve so we can head back to Europe, the recipe is simple: Self-isolate at home as much as possible. If you're out in public, socially distance. And be sure to wear a mask.
 
In the meantime, it seems that we may be stuck at home for a while longer. If you're like me, more than 100 days of staying close to home is wearing thin (even though it's just as important as ever). Sometime during the haze of quarantine, I started brainstorming ways that travelers can bring a little bit of Europe into our daily lives during this crisis. This video offers a few suggestions.

Visit ",Travel
R-07lW6jsD,HOW TO TRAVEL BALI - 14 Days in Paradise,"This is how to travel Bali in 2020. The perfect 2 week Bali Indonesia itinerary is right here for you to make sure you know what to do and where to go in Bali. If you want 5 tips to Bali including some cost savings tips, check this FREE guide: http://lostleblanc.com/5-hot-tips-bali",Travel
5Nr9CYpM4,"Top ten cheapest countries to travel from India in 2019: Budget travel, cheap flights, visa & more","If you are someone who travels on a shoes string budget then I present to you the cheapest countries to travel to for Indians. I've included the per day budget, visa fee information, accommodation rates and more informative stuff. .

If you wanna find out how to book cheap flights click the link below",Travel
SkTvdPpGCX,HẠ LONG BAY,"Ha Long Bay in Vietnam is a world-famous natural wonder, with more than a thousand limestone islands. Ha Long Bay is Vietnam's paradise and is the number 1 tourist destination in Vietnam. When you travel Vietnam, this needs to be on your list of things to do in Vietnam. You will want to take a Ha long bay cruise tour to see all the islands scattered across the ocean. We took a 1 day Halong Bay cruise but there is all different cruises you can choose.

Join 10,000+ monthly readers in getting updates and cool freebies: ",Travel
Uom7lLqJM5A,Islamabad to Kumrat Valley | Road Travel | June 2020,"Kumrat valley is situated at 7800 ft altitude above sea level in #Hindukush_mountain_range of Pakistan. There are two routes from Islamabad to Kumrat valley:
1. From Islamabad to Kalam to Kumrat via Badgio pass.
2. From Islamabad to ",Travel
ZcdEBo9ZO88,12 Top Underrated Places To Travel After Quarantine | Best Destinations 2020,Here's our 12 top places to travel after quarantine is over. These are the best underrated cities and destinations in the world to help with your planning for where to travel in 2020 once...⬇ More Below ✈ Our 220 page guide on how to travel non-stop — https://geni.us/9VHNx,Travel
O_9TgmIg1nA,Bora Bora Vacation Travel Guide | Expedia,"Bora Bora – The vacation destination that dreams are made of. Follow our journey through this island paradise. 

Check out all the places we visited in this video: ",Travel
FND3ZH0zJJI,"How I Funded My Unlimited Non-Stop International Travel ?? Work, Education, Business & Lifestyle..","A huge number of people ask me how I earn? What my business is? How I travel so much? In this video, I share not just how I funded my travel but also shared my brief life history and early career as an IT entrepreneur. 

I am going to make a series about who I am and what my life journey has been and why I chose YouTube as a career in upcoming episodes of this series. 

Rs. 2200 Airbnb Voucher Link: ",Travel
AtQtEwBfUT4,23 SMART TRAVEL HACKS FOR YOUR FUTURE TRIPS,"Too lazy to DIY? You can buy this T-shirt (0:09) at our Amazon store! https://tr.im/amazon_youtube

HOW TO TRAVEL LIKE A PRO TO MAKE YOUR LIFE EASIER

In this video, I wanted to give you some tips and tricks to make your traveling adventures a lot less stressful. 
One of the biggest problems travelers face is miscommunication. But I show you an amazing shirt you can try to make it easier for you. You simply point at those illustrated icons and strangers will be able to help you. 

You can attach your luggage at the back of your jeans using a hook and a hair tie. This way you won’t have to drag your suitcase everywhere. 
You can also use a carabiner to turn a regular shoulder bag into a backpack. This will prevent your shoulders from getting sore and it’ll be better for your posture. 
When traveling, attach your earrings on your watch strap to prevent them from being lost. 
I also show you how to make your own DIY mini deodorant using coconut oil, cocoa butter, tea tree oil, and corn starch. 
You can also use an earring to open the sim slot on your phone.

Timestamps: ",Travel
